propertyType,propertyAddress,agent,postalCode,city,state,country,status,price,currency,rooms,area,buyRent,garage,garden,swimmingPool,lat,lon,additionalInfo,image1,image2,image3
Building,2645 Vahlen Alley,Anad Panchal1,61605,Fnideq,Illinois,United States,Available,216253,Dollar,359,Sugar,Rent,false,true,false,40.6775,-89.6263,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,http://dummyimage.com/227x184.jpg/dddddd/000000,http://dummyimage.com/221x128.jpg/ff4444/ffffff,http://dummyimage.com/155x109.jpg/dddddd/000000
Building,403 Canary Road,Tirth Barot,60505,Hoceima,Illinois,United States,Available,640953,Dollar,460,Chive,Rent,false,true,false,41.7582,-88.2971,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",http://dummyimage.com/216x108.jpg/ff4444/ffffff,http://dummyimage.com/136x244.jpg/dddddd/000000,http://dummyimage.com/161x183.jpg/5fa2dd/ffffff
Flat,6633 Lukken Place,Anad Panchal,68505,Sebt Gzoula,Nebraska,United States,Unavailable,523494,Dollar,33,Oak,Rent,false,true,false,40.8247,-96.6252,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",http://dummyimage.com/174x231.jpg/dddddd/000000,http://dummyimage.com/193x238.jpg/ff4444/ffffff,http://dummyimage.com/115x198.jpg/ff4444/ffffff
Building,9 Oriole Drive,Tirth Barot,80044,Hattane,Colorado,United States,Available,427438,Dollar,424,Dexter,Rent,false,true,false,39.7388,-104.4083,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://dummyimage.com/249x124.jpg/cc0000/ffffff,http://dummyimage.com/193x162.jpg/5fa2dd/ffffff,http://dummyimage.com/203x210.jpg/cc0000/ffffff
Building,91257 Granby Point,Anad Panchal,20231,Kars,District of Columbia,United States,Unavailable,708259,Dollar,64,Monica,Rent,true,true,false,38.8933,-77.0146,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",http://dummyimage.com/147x235.jpg/5fa2dd/ffffff,http://dummyimage.com/241x102.jpg/dddddd/000000,http://dummyimage.com/118x208.jpg/5fa2dd/ffffff
Flat,7394 Summit Junction,Tirth Barot1,98109,Kastamonu,Washington,United States,Available,478254,Dollar,261,Burrows,Rent,false,false,true,47.6339,-122.3476,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",http://dummyimage.com/204x170.jpg/5fa2dd/ffffff,http://dummyimage.com/155x218.jpg/ff4444/ffffff,http://dummyimage.com/237x103.jpg/5fa2dd/ffffff
Building,4061 Parkside Road,Anad Panchal,20520,Kırklareli,District of Columbia,United States,Unavailable,971240,Dollar,371,Bayside,Rent,false,true,false,38.8932,-77.049,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",http://dummyimage.com/240x180.jpg/cc0000/ffffff,http://dummyimage.com/223x186.jpg/5fa2dd/ffffff,http://dummyimage.com/218x125.jpg/ff4444/ffffff
Flat,36847 Dapin Point,Anad Panchal,19104,Fnideq,Pennsylvania,United States,Available,915780,Dollar,224,Kenwood,Rent,true,true,false,39.9597,-75.2024,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",http://dummyimage.com/227x184.jpg/dddddd/000000,http://dummyimage.com/221x128.jpg/ff4444/ffffff,http://dummyimage.com/155x109.jpg/dddddd/000000
Flat,820 Briar Crest Pass,Tirth Barot,85077,Aydın,Arizona,United States,Unavailable,878710,Dollar,467,Mallard,Rent,false,false,false,33.2765,-112.1872,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",http://dummyimage.com/216x108.jpg/ff4444/ffffff,http://dummyimage.com/136x244.jpg/dddddd/000000,http://dummyimage.com/161x183.jpg/5fa2dd/ffffff
Flat,7380 Arizona Pass,Anad Panchal,10155,Adana,New York,United States,Unavailable,336531,Dollar,245,Bunker Hill,Rent,false,true,true,40.7611,-73.968,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",http://dummyimage.com/174x231.jpg/dddddd/000000,http://dummyimage.com/193x238.jpg/ff4444/ffffff,http://dummyimage.com/115x198.jpg/ff4444/ffffff
